energy_min,energy_max,dama_amplitude,dama_amplitude_error,cosine_nrc_single_amplitude,cosine_nrc_single_amplitude_upper_error,cosine_nrc_single_amplitude_lower_error,cosine_nrc_multiple_amplitude,cosine_nrc_multiple_amplitude_upper_error,cosine_nrc_multiple_amplitude_lower_error,cosine_erc_single_amplitude,cosine_erc_single_amplitude_upper_error,cosine_erc_single_amplitude_lower_error,cosine_erc_multiple_amplitude,cosine_erc_multiple_amplitude_upper_error,cosine_erc_multiple_amplitude_lower_error
6.5,7.0,0.001599444,0.001147427,0.008659921162362466,0.007187945159280248,0.007076082844852572,-0.00270291622555242,0.0038137924981371885,0.0038216070249578373,-0.00013626623918935583,0.00833645345588462,0.008361907779627522,-1.4315155705644144e-05,0.003165471649579429,0.0031996517752855206
7.0,7.5,0.000556328,0.001216968,-0.010845035347269907,0.007388390066858004,0.006506626474149967,0.001375086040118232,0.003102977332472564,0.003134400254760087,-0.007376597521084429,0.008158507836453482,0.008420380470213231,0.003717826954731532,0.0032478632107084005,0.0032790869254393893
7.5,8.0,0.002086231,0.001390821,0.004023203389994185,0.0069895361860123325,0.007026514855482526,0.0015461688299202537,0.002808174227129657,0.002827399089688023,0.011626098614278393,0.008167581182826844,0.008160411279314952,0.005540556437720775,0.003112574404739452,0.003161394597613497
8.0,8.5,0.001529903,0.00132128,-0.001365137053256231,0.006908338344474257,0.006868551717063403,-0.0013786711271920556,0.002673791533639728,0.002668694513202292,-0.008692884255065257,0.00812630702061761,0.008103146442840428,0.0016949766180622179,0.0032162665356580402,0.0032046523057153004
8.5,9.0,0.002086231,0.001425591,0.0045068760912873275,0.00697260467170607,0.00690809046480151,-0.0040364143670816475,0.0026260673036520403,0.0026189462512095814,-0.005401291362489685,0.008109790450539774,0.00807502954525428,0.0025174536740068853,0.003199033338178182,0.0031717753943030064
9.0,9.5,0.001529903,0.001251739,0.0038979602208736443,0.006863703666265968,0.00686767482508556,-0.0016998851196585163,0.002579423335010273,0.002563545279274133,-0.007824792294999333,0.008148305402550491,0.008286123990995363,0.005531217423135128,0.0031648117623076814,0.003158677830811732
9.5,10.0,-0.002433936,0.001529903,-0.0018324847307241742,0.0068340515241912154,0.006922421930715248,-0.004304969486691888,0.0026043459958194183,0.002620477847303586,-0.00982971760023035,0.008260952569894436,0.008098113828704224,-0.0017597148781468607,0.003201864701180483,0.003130041009623978
10.0,10.5,0.003963839,0.001564673,-0.0004577420881917802,0.006959513510839348,0.007049683680748437,7.521182715251068e-05,0.0026054455482301298,0.0026070988554036576,0.004994149546596512,0.007941954278605102,0.008268576699121268,0.002964423338368051,0.0031855452313774356,0.0031663275282376954
10.5,11.0,-0.003755216,0.001460362,-0.003615593482870763,0.0068934768933728175,0.006994839159211235,0.0030932386740298435,0.0027420047519980824,0.0027013939070425815,0.0069603176881590945,0.008210623590805124,0.008095663229816011,-0.0007199446833793481,0.003125657396460921,0.003232101734011697
11.0,11.5,-0.000278164,0.001564673,0.006704145084878627,0.007100067813357406,0.0070464934764907896,0.00024526534845343477,0.0027733122400269744,0.0027370933881770017,0.0028795686550438368,0.008003492943456862,0.007944764451291775,0.0007873058149318043,0.0032285958749889063,0.003235985014226137
11.5,12.0,-0.002433936,0.001460362,-0.007611303058507928,0.00709040243136522,0.007112812606322102,0.002636776849168869,0.0027876784316447144,0.0027955298360562886,0.012032801020311661,0.007774379986199658,0.007781469441045431,-0.005401264685229828,0.0031992061434340927,0.003209916222112404
12.0,12.5,-0.000764951,0.001495132,-0.0041963498063547515,0.006811175243929456,0.006832987015007316,0.002241745562790608,0.0027844484878704365,0.0027597269920717096,8.611293858180546e-05,0.007575437060020076,0.007724798081354287,0.003443411667757676,0.003189547520856207,0.003210434677470723
12.5,13.0,0.000486787,0.001529903,0.00911919420169289,0.0069581370068768755,0.006783869348772939,0.005145849857287117,0.0027192739597176434,0.0027451829075627312,-0.0030020864790632745,0.00747597056575307,0.007518205419379566,0.00035800690946057734,0.003209492428482665,0.003186466151847421
