day_centers,livetime_efficiency_crystal2,counts_crystal2,event_rate_crystal2,event_rate_error_crystal2,livetime_efficiency_crystal3,counts_crystal3,event_rate_crystal3,event_rate_error_crystal3,livetime_efficiency_crystal4,counts_crystal4,event_rate_crystal4,event_rate_error_crystal4,livetime_efficiency_crystal6,counts_crystal6,event_rate_crystal6,event_rate_error_crystal6,livetime_efficiency_crystal7,counts_crystal7,event_rate_crystal7,event_rate_error_crystal7,residual_crystal2,residual_error_crystal2,residual_crystal3,residual_error_crystal3,residual_crystal4,residual_error_crystal4,residual_crystal6,residual_error_crystal6,residual_crystal7,residual_error_crystal7,mean_residual,mean_residual_error
1072.5,0.9944444444444444,875.0,3.395620640875095,0.11479292928318234,0.9944444444444444,975.0,3.732481173344417,0.11953506387997738,0.9944444444444444,1596.0,3.1805016644928044,0.07961211903595096,0.9944444444444444,1132.0,3.174182177973023,0.09434277261489452,0.9944444444444444,1102.0,3.138907647439692,0.09455570583304661,-0.05400793428780171,0.11479292928318234,0.11283026497791981,0.11953506387997738,-0.025383920840568397,0.07961211903595096,0.21430629119238942,0.09434277261489452,0.03710793467125528,0.09455570583304661,0.05308576604395847,0.04352564192471945
1087.5,0.9997600308641975,888.0,3.4277475828847566,0.115027677299917,0.9997600308641975,923.0,3.5146288270374164,0.11568541697553904,0.9997600308641975,1593.0,3.1576447747603744,0.07911437175975075,0.9997600308641975,1026.0,2.861656741261484,0.08933957004942043,0.9997600308641975,1097.0,3.108052362018452,0.09383935479207324,-0.01742290396925572,0.115027677299917,-0.0988744810110993,0.11568541697553904,-0.04126338472994595,0.07911437175975075,-0.09460747833003813,0.08933957004942043,0.01017999034885353,0.09383935479207324,-0.04735609451231654,0.042682194269631046
1102.5,1.0,910.0,3.511826325029486,0.11641590908033198,1.0,947.0,3.6051514594708385,0.11715168123317733,0.9944436728395061,1586.0,3.1605761615417833,0.07936237730319384,1.0,1065.0,2.9697203548188416,0.09099986578860943,1.0,1068.0,3.0251625971785687,0.09256847217388278,0.07110477719032238,0.11641590908033198,-0.0022306892674821555,0.11715168123317733,-0.03139505809554821,0.07936237730319384,0.017059403099336734,0.09099986578860943,-0.06879545802650844,0.09256847217388278,-0.010810903971928914,0.04291889500723455
1117.5,0.9888881172839505,897.0,3.500555135637332,0.11688013401591123,0.9888881172839505,944.0,3.6341125374039316,0.11828028840659409,0.9888881172839505,1508.0,3.0220208005306426,0.07782099485749326,0.9888881172839505,1038.0,2.9269556577511047,0.09084843834620028,0.9888881172839505,1080.0,3.0935281096918006,0.09413306266413972,0.06427357862090544,0.11688013401591123,0.032825564769920934,0.11828028840659409,-0.16305287397575485,0.07782099485749326,-0.022110147160068205,0.09084843834620028,0.0034716849771956326,0.09413306266413972,-0.04074820479939072,0.04288183665750208
1132.5,1.0,877.0,3.384474381374571,0.11428557939710017,1.0,910.0,3.4642954890374473,0.11484027720983651,1.0,1583.0,3.1370697930440254,0.0788467366973831,1.0,1013.0,2.824719924348814,0.08875047182841457,1.0,1113.0,3.152627313351823,0.09449852975886736,-0.047375948911740906,0.11428557939710017,-0.13092185039503734,0.11484027720983651,-0.041144702517119214,0.0788467366973831,-0.12075859955731749,0.08875047182841457,0.06646014896586028,0.09449852975886736,-0.050819332418501034,0.042555819261762134
1147.5,0.9833317901234567,883.0,3.465391147166201,0.11661969729475823,0.9833317901234567,884.0,3.422360236619197,0.11510643112142582,0.9833317901234567,1555.0,3.1338166218109498,0.0794709460515418,0.9833317901234567,999.0,2.8329007308558944,0.08962901266216566,0.9833317901234567,1068.0,3.0764413675660394,0.09413757706568286,0.037963448187068316,0.11661969729475823,-0.16681258862486148,0.11510643112142582,-0.03757609035741316,0.0794709460515418,-0.10899814357883963,0.08962901266216566,-0.005848611820237881,0.09413757706568286,-0.055036796868886025,0.042848495188135036
1162.5,1.0,905.0,3.492530575990863,0.11609564462462756,1.0,943.0,3.589923786991553,0.11690400298311389,1.0,1591.0,3.1529235885868885,0.07904571931462084,1.0,1081.0,3.0143358718865425,0.09168088457386343,1.0,1065.0,3.016664949433685,0.09243836884581462,0.06951706756201981,0.11609564462462756,0.006770765397420053,0.11690400298311389,-0.01168381859391987,0.07904571931462084,0.07600923049452346,0.09168088457386343,-0.06175964472048667,0.09243836884581462,0.010302403170950119,0.042897852639727375
1177.5,0.9996157407407407,865.0,3.339447797418846,0.11354463150228244,0.9996157407407407,983.0,3.7436390397487562,0.11940354164686165,0.9996157407407407,1577.0,3.126380787152312,0.07872742130355767,0.9996157407407407,1056.0,2.9457560605100306,0.09064937638739629,0.9996157407407407,1132.0,3.207678329168128,0.09533834237065816,-0.07915981926087579,0.11354463150228244,0.16648150524451966,0.11940354164686165,-0.03147692574281091,0.07872742130355767,0.010994433337792042,0.09064937638739629,0.13310757832941622,0.09533834237065816,0.030402828958217117,0.04300289997663204
1192.5,1.0,937.0,3.616023369838054,0.11813033434490307,1.0,886.0,3.372929454161735,0.11331578114246714,1.0,1616.0,3.202466699658335,0.07966433666422718,0.9277739197530864,1029.0,3.0927097435333675,0.09641208504944979,0.9277739197530864,994.0,3.03474143092327,0.09625615323069399,0.2018134765245616,0.11813033434490307,-0.19825652948378503,0.11331578114246714,0.05132389230642742,0.07966433666422718,0.16150609338356103,0.09641208504944979,-0.0359867769490223,0.09625615323069399,0.03941688931217787,0.04374284536436544
1207.5,1.0,899.0,3.4693756771445146,0.11571015719191226,1.0,923.0,3.513785424595125,0.11565765604600248,1.0,1604.0,3.178686006344041,0.07936800208485965,1.0,1086.0,3.0282782209701997,0.0918926679112114,1.0,1139.0,3.2262735938074814,0.09559591436317717,0.05955545875886603,0.11571015719191226,-0.051452576963246344,0.11565765604600248,0.034224095396102605,0.07936800208485965,0.10062567767650776,0.0918926679112114,0.15937685514168498,0.09559591436317717,0.06602289963544825,0.04319164551501922
