day_centers,background_crystal2,background_crystal3,background_crystal4,background_crystal6,background_crystal7
1669.5,1.8928115053106258,1.9408151912631484,1.693146997129842,1.6324886741342186,1.7000099180159942
1670.5,1.8926564136184425,1.940599911118447,1.6929159385680583,1.6323530956896237,1.6998720134864727
1671.5,1.8925013404899704,1.9403846702832983,1.6926849417541459,1.6322175339702734,1.6997341305853633
1672.5,1.8923462859199915,1.9401694687355704,1.6924540066343516,1.6320819889701352,1.6995962692977569
1673.5,1.892191249903296,1.9399543064531646,1.6922231331550115,1.6319464606831908,1.699458429608767
1674.5,1.8920362324346793,1.9397391834140125,1.6919923212625478,1.6318109491034356,1.6993206115035373
1675.5,1.891881233508944,1.9395240995960779,1.6917615709034681,1.6316754542248795,1.6991828149672394
1676.5,1.8917262531208987,1.9393090549773544,1.6915308820243657,1.6315399760415477,1.699045039985073
1677.5,1.8915712912653584,1.9390940495358682,1.6913002545719218,1.6314045145474754,1.6989072865422634
1678.5,1.8914163479371433,1.938879083249675,1.6910696884929024,1.6312690697367143,1.6987695546240638
1679.5,1.8912614231310825,1.9386641560968627,1.6908391837341583,1.6311336416033297,1.6986318442157562
1680.5,1.8911065168420083,1.938449268055549,1.690608740242627,1.6309982301413994,1.6984941553026502
1681.5,1.8909516290647606,1.9382344191038825,1.6903783579653306,1.6308628353450147,1.69835648787008
1682.5,1.8907967597941866,1.9380196092200435,1.6901480368493762,1.6307274572082813,1.6982188419034088
1683.5,1.8906419090251374,1.9378048383822424,1.689917776841955,1.6305920957253175,1.6980812173880264
1684.5,1.8904870767524715,1.9375901065687198,1.6896875778903442,1.6304567508902554,1.6979436143093494
1685.5,1.8903322629710544,1.9373754137577461,1.6894574399419038,1.63032142269724,1.6978060326528228
1686.5,1.890177467675756,1.9371607599276248,1.6892273629440788,1.6301861111404288,1.6976684724039153
1687.5,1.890022690861453,1.936946145056687,1.6889973468443984,1.6300508162139955,1.6975309335481241
1688.5,1.8898679325230285,1.9367315691232947,1.688767391590476,1.6299155379121226,1.6973934160709743
1689.5,1.889713192655371,1.9365170321058425,1.6885374971300062,1.6297802762290088,1.6972559199580153
1690.5,1.8895584712533755,1.936302533982752,1.6883076634107705,1.6296450311588637,1.6971184451948236
1691.5,1.8894037683119433,1.9360880747324765,1.6880778903806302,1.6295098026959112,1.6969809917670031
